link_id,from_node_id,to_node_id,time_period,volume,CA,CD,density,queue,travel_time,waiting_time_in_sec,speed,notes
2,3,4,0755:00_0756:00,33.000,1768.000,1734.000,11.333,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0756:00_0757:00,34.000,1801.000,1768.000,11.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0757:00_0758:00,33.000,1834.000,1801.000,11.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0758:00_0759:00,33.000,1868.000,1834.000,11.333,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0759:00_0800:00,34.000,1901.000,1868.000,11.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0800:00_0801:00,33.000,1934.000,1901.000,11.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0801:00_0802:00,33.000,1968.000,1934.000,11.333,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0802:00_0803:00,34.000,2000.000,1968.000,10.667,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0803:00_0804:00,32.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0804:00_0805:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0805:00_0806:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0806:00_0807:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0807:00_0808:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0808:00_0809:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0809:00_0810:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0810:00_0811:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0811:00_0812:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0812:00_0813:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0813:00_0814:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0814:00_0815:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0815:00_0816:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0816:00_0817:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
