link_id,from_node_id,to_node_id,date,FT,AT,assignment_period,period_volume,period_mean_hourly_volume_per_lane,period_mean_daily_speed,period_mean_density,t0,t3,demand,average_discharge_rate,peak_hour_factor,congestion_duration,congestion_period_mean_speed,period_peak_hour_factor,ultimate_capacity,period_capacity,period_demand_over_capacity,hourly_demand_over_capacity,period_mean_volume,period_mean_speed,alpha,beta,VDF_TYPE,daily_alpha,daily_beta
78,3,4,2/9/2016,7,1,0600_0900,139.0,46.333333333333336,71.91666666666666,0.6407877272360686,0,0,29.0,28.0,1.8289473684210527,0.0,70.75,1.5534456038632463,306.5515514703702,476.21115998910426,0.22365937604555056,0.09460072820020615,106.50909090909092,72.57424242432643,10.0,3.57,107,0.71,5.06
78,3,4,1/1/2016,7,1,0900_1400,154.0,30.8,73.76666666649999,0.41806377426475355,0,0,25.0,12.0,2.75,0.0,73.11111111000001,2.78124212783574,306.5515514703702,852.5940893027998,0.5558897039148317,0.08155235189672945,473.94827586206895,72.48899916815775,0.79,4.72,107,0.71,5.06
78,3,4,1/10/2016,7,1,0900_1400,321.0,64.2,72.966666667,0.8766166310641298,0,0,30.0,12.0,2.168918918918919,0.0,71.6666666675,2.78124212783574,306.5515514703702,852.5940893027998,0.5558897039148317,0.09786282227607533,473.94827586206895,72.48899916815775,0.79,4.72,107,0.71,5.06
78,3,4,1/11/2016,7,1,0900_1400,476.0,100.21052631578948,72.4473684205263,1.387142082056719,0,0,55.0,72.0,2.2037037037037037,0.0,72.1666666675,2.78124212783574,306.5515514703702,852.5940893027998,0.5558897039148317,0.17941517417280478,473.94827586206895,72.48899916815775,0.79,4.72,107,0.71,5.06
78,3,4,1/12/2016,7,1,0900_1400,509.0,101.8,72.6500000005,1.4007959997907231,0,0,93.0,76.0,3.1036585365853657,0.0,72.1666666675,2.78124212783574,306.5515514703702,852.5940893027998,0.5558897039148317,0.3033747490558335,473.94827586206895,72.48899916815775,0.79,4.72,107,0.71,5.06
78,3,4,1/13/2016,7,1,0900_1400,577.0,115.4,73.49999999949999,1.5716074824995814,0,0,114.0,56.0,2.885,0.0,73.4999999975,2.78124212783574,306.5515514703702,852.5940893027998,0.5558897039148317,0.3718787246490863,473.94827586206895,72.48899916815775,0.79,4.72,107,0.71,5.06
78,3,4,1/14/2016,7,1,0900_1400,492.0,98.4,73.15,1.3466485412505953,0,0,57.0,64.0,3.075,0.0,72.75,2.78124212783574,306.5515514703702,852.5940893027998,0.5558897039148317,0.18593936232454314,473.94827586206895,72.48899916815775,0.79,4.72,107,0.71,5.06
78,3,4,1/15/2016,7,1,0900_1400,575.0,115.0,70.5166666655,1.63732150818691,0,0,141.0,32.0,2.8186274509803924,0.0,70.22222222333333,2.78124212783574,306.5515514703702,852.5940893027998,0.5558897039148317,0.45995526469755404,473.94827586206895,72.48899916815775,0.79,4.72,107,0.71,5.06
78,3,4,1/16/2016,7,1,0900_1400,373.0,74.6,71.625,1.0584686821201619,0,0,109.0,44.0,2.33125,0.0,67.22222222333333,2.78124212783574,306.5515514703702,852.5940893027998,0.5558897039148317,0.35556825426974037,473.94827586206895,72.48899916815775,0.79,4.72,107,0.71,5.06
78,3,4,1/17/2016,7,1,0900_1400,364.0,72.8,72.94999999950001,0.9970051623199134,0,0,55.0,56.0,2.3947368421052633,0.0,70.4166666675,2.78124212783574,306.5515514703702,852.5940893027998,0.5558897039148317,0.17941517417280478,473.94827586206895,72.48899916815775,0.79,4.72,107,0.71,5.06
