link_id,from_node_id,to_node_id,Date,FT,AT,period,vol_period,vol_period_hourly,speed_period,density_period,t0,t3,Demand,avg_discharge_rate,peak_factor,congestion_period,rho,waiting_time
12187BA,13584,13581,1/1/2018,6,2,0600_0900,1197.5,399.1666666666667,37.40833333333333,10.710995061047639,0,0,332.5,324.0,3.601503759398496,0.25,1374.7003995756625,0.0018415375294384198
12206AB,13483,39835,1/1/2018,6,2,0600_0900,761.5,253.83333333333334,37.47916666666667,6.8511771672877275,0,0,298.5,144.0,2.5510887772194306,0.25,601.9441189399543,0.0018143088075688242
12206BA,39835,13483,1/1/2018,6,2,0600_0900,1290.5,430.1666666666667,39.99583333333333,10.743667610039894,0,0,317.0,220.0,4.070977917981073,0.25,229.33410403080723,0.0004524425979143135
13029AB,13985,29304,1/1/2018,6,2,0600_0900,501.0,167.0,26.787499999999998,6.346562870347189,0,0,100.0,54.0,4.732579967401441,0.25,1574.902323034876,0.012658358434886802
13029BA,29304,13985,1/1/2018,6,2,0600_0900,705.5,235.16666666666666,24.733333333333334,9.74606165522384,0,0,240.5,136.0,2.9334719334719335,0.25,5072.578720673037,0.01618852992453354
13089AB,14071,31580,1/1/2018,6,2,0600_0900,1524.5,508.1666666666667,30.724999999999998,17.116676822071017,0,0,698.0,194.0,2.1840974212034383,0.25,3518.223478317375,0.007871168649586051
13089BA,31580,14071,1/1/2018,6,2,0600_0900,560.5,186.83333333333334,28.020833333333332,6.8463987417721635,0,0,208.5,64.0,2.6882494004796165,0.25,1620.9373766603687,0.010992685117325636
13129AB,14129,14130,1/1/2018,6,2,0600_0900,1543.0,514.3333333333334,24.687499999999996,21.833862055000537,0,0,606.0,214.0,2.546204620462046,0.25,8062.561059199078,0.016352221774401036
13129BA,14130,14129,1/1/2018,6,2,0600_0900,856.0,285.3333333333333,25.6375,12.03613910970663,0,0,435.5,116.0,1.965556831228473,0.25,4054.656234049973,0.015170977887220029
13143AB,9408,29705,1/1/2018,6,2,0600_0900,948.5,316.1666666666667,30.704166666666666,10.393623087776172,0,0,403.0,104.0,2.3535980148883375,0.25,1842.662688023702,0.007690065304586095
13143BA,29705,9408,1/1/2018,6,2,0600_0900,1976.0,658.6666666666666,29.116666666666664,25.312997790794157,7,7,932.0,982.0,2.1201716738197427,0.25,25203.172062354686,0.011139385705880628
13167AB,14179,29524,1/1/2018,6,2,0600_0900,1749.0,583.0,35.48333333333333,16.435097673145755,0,0,726.5,242.0,2.4074328974535444,0.25,1859.4064778471632,0.003334851494072764
13167BA,29524,14179,1/1/2018,6,2,0600_0900,1044.0,348.0,32.708333333333336,10.517735656331235,0,0,302.5,186.0,3.4512396694214877,0.25,2559.613157907108,0.005972812961812807
13195AB,14210,14204,1/1/2018,6,2,0600_0900,1212.5,404.1666666666667,36.15,11.335289367131248,0,0,520.0,150.0,2.331730769230769,0.25,955.3607537598317,0.002764354032869884
13195BA,14204,14210,1/1/2018,6,2,0600_0900,735.5,245.16666666666666,36.15,6.846074932840279,0,0,298.5,124.0,2.4639865996649917,0.25,789.7648897747944,0.002764354032869884
13247AB,14175,29534,1/1/2018,6,2,0600_0900,1969.0,656.3333333333334,35.1625,18.76527795337763,0,0,836.0,304.0,2.3552631578947367,0.25,2436.2880563337512,0.0034783443786746034
13247BA,29534,14175,1/1/2018,6,2,0600_0900,1151.0,383.6666666666667,35.05833333333334,11.032763673706521,0,0,479.5,144.0,2.400417101147028,0.25,1196.3225152455534,0.003605813908316314
13252AB,14223,14177,1/1/2018,6,2,0600_0900,573.5,191.16666666666666,29.34583333333333,6.800817227219764,0,0,271.0,52.0,2.1162361623616235,0.25,1139.501944301296,0.009511067243433627
13252BA,14177,14223,1/1/2018,6,2,0600_0900,1310.0,436.6666666666667,28.620833333333334,15.951553829182883,0,0,513.5,128.0,2.5511197663096397,0.25,3167.3210748369966,0.010739885372033001
13286AB,14232,14234,1/1/2018,6,2,0600_0900,792.0,264.0,31.595833333333335,8.6529281873501,0,0,335.5,86.0,2.360655737704918,0.25,1389.4684696447391,0.007012417583397626
13286BA,14234,14232,1/1/2018,6,2,0600_0900,1286.0,428.6666666666667,32.11666666666667,14.027971221302346,0,0,528.0,158.0,2.4356060606060606,0.25,2506.707064328462,0.006885952510571769
