link_id,from_node_id,to_node_id,Date,FT,AT,period,vol_period,vol_period_hourly,speed_period,density_period,t0,t3,Demand,avg_discharge_rate,peak_factor,congestion_period,rho,waiting_time,VOC_period,VOC,alpha,beta,VDF_TYPE,alpha_day,beta_day
28276AB,22655,22722,1/1/2018,1,2,0900_1400,5637.5,1127.5,64.690625,17.44338376423347,0,0,1078.625,1049.5,5.226561594622783,0.25,2842.205705678907,0.0011754132695789778,0.5776851552398328,0.5827848326345457,0.4,4.95,201,0.5,4.21
5150AB,9465,9466,1/1/2018,1,2,0900_1400,3951.0,790.2,71.636875,11.034919286053574,0,0,834.125,851.0,4.736700134871872,0.25,0.0,0.0,0.5776851552398328,0.4506806336968737,0.4,4.95,201,0.5,4.21
5155AB,9470,9472,1/1/2018,1,2,0900_1400,3795.0,759.0,72.809375,10.423666203812106,0,0,725.875,709.5,5.228172894782159,0.25,0.0,0.0,0.5776851552398328,0.39219278283796577,0.4,4.95,201,0.5,4.21
5576AB,9885,9886,1/1/2018,1,2,0900_1400,6381.6666668,1276.3333333599999,64.434583333,19.93515079764169,19,19,1072.6666668,1429.0,5.9493474201430265,0.25,4246.943126304307,0.0012899169261430838,0.5776851552398328,0.5795655245184322,0.4,4.95,201,0.5,4.21
5592AB,9913,9914,1/1/2018,1,2,0900_1400,7096.200000000001,1419.2400000000002,66.2895,21.41554022018936,0,0,1426.0,1426.0,4.976297335203366,0.25,2633.1229917384667,0.0008014365502944043,0.5776851552398328,0.7704727512683853,0.4,4.95,201,0.5,4.21
8224AB,11436,11437,1/1/2018,1,2,0900_1400,8786.333333333332,1757.2666666666664,61.64,28.53307759439,0,0,1893.3333333333333,1468.6666666666667,4.640669014084507,0.25,6566.593671599912,0.00194059286803504,0.5776851552398328,1.0229745739140788,0.4,4.95,201,0.5,4.21
8776AB,11667,11668,1/1/2018,1,2,0900_1400,7325.375,1465.075,63.40562500000001,23.151030056264233,0,0,1444.625,1335.0,5.0707796140867005,0.25,4699.652759956419,0.0015279249765775913,0.5776851552398328,0.7805359034369503,0.4,4.95,201,0.5,4.21
8781AB,11674,11675,1/1/2018,1,2,0900_1400,6848.125,1369.625,69.29375000000002,19.779850902931603,0,0,1425.875,1174.5,4.802752695713159,0.25,427.6233314109736,0.00015802503555405284,0.5776851552398328,0.7704052133343682,0.4,4.95,201,0.5,4.21
9117AB,11855,11856,1/1/2018,1,2,0900_1400,4881.0,976.2,66.74700000000001,14.627865960162879,0,0,928.5,870.0,5.25686591276252,0.25,1410.0466702358876,0.0007034476124660199,0.5776851552398328,0.5016717738798708,0.4,4.95,201,0.5,4.21
9120AB,11859,11813,1/1/2018,1,2,0900_1400,4375.700000000001,875.1400000000001,70.907,12.350418490973269,0,0,769.8,759.6,5.684203689269942,0.25,0.0,0.0,0.5776851552398328,0.415925612851615,0.4,4.95,201,0.5,4.21
9578AB,12004,9889,1/1/2018,1,2,0900_1400,4093.875,818.775,58.4875,14.008459202483579,0,0,911.25,949.0,4.492592592592593,0.25,6152.681742433939,0.0028139460316570154,0.5776851552398328,0.49235153898549516,0.4,4.95,201,0.5,4.21
11152AB,12852,13018,1/1/2018,1,2,1400_1800,7938.166666666666,1984.5416666666665,52.130208333125005,38.733967653128715,9,14,3076.0,2050.6666666666665,2.58067837017772,1.5,112.35496147602306,0.005136513802849721,0.8703312237232073,1.6619734802956194,0.37,4.13,201,0.5,4.21
